,Survived,SibSp,Parch,Fare,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_Unknown,Age_Adult,Age_Child,Age_Elderly,Age_Unknown
253,0,1,0,16.1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
254,0,0,2,20.2125,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
255,1,0,2,15.2458,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
256,1,0,0,79.2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
257,1,0,0,86.5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
258,1,0,0,512.3292,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
259,1,0,1,26.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
260,0,0,0,7.75,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
261,1,4,2,31.3875,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
262,0,1,1,79.65,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
263,0,0,0,0.0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
264,0,0,0,7.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
265,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
266,0,4,1,39.6875,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
267,1,1,0,7.775,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
268,1,0,1,153.4625,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
269,1,0,0,135.6333,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
270,0,0,0,31.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
271,1,0,0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
272,1,0,1,19.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
273,0,0,1,29.7,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
274,1,0,0,7.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
275,1,1,0,77.9583,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
276,0,0,0,7.75,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
277,0,0,0,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
278,0,4,1,29.125,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
279,1,1,1,20.25,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
280,0,0,0,7.75,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
281,0,0,0,7.8542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
282,0,0,0,9.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
283,1,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
284,0,0,0,26.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
285,0,0,0,8.6625,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
286,1,0,0,9.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
287,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
288,1,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
289,1,0,0,7.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
290,1,0,0,78.85,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
291,1,1,0,91.0792,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
292,0,0,0,12.875,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
293,0,0,0,8.85,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
294,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
295,0,0,0,27.7208,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
296,0,0,0,7.2292,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
297,0,1,2,151.55,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
